Side,High_Shots,Low_Shots
cover,0.1493288590604027,0.1396329365079365
fine leg,0.0738255033557047,0.02703373015873016
mid off,0.22651006711409397,0.3568948412698413
mid on,0.16778523489932887,0.12996031746031747
mid wicket,0.1593959731543624,0.11036706349206349
point,0.06040268456375839,0.13740079365079366
square leg,0.026845637583892617,0.05530753968253968
third man,0.13590604026845637,0.043402777777777776
